disease_id,disease_name,gene_id,gene_name,,
ds:H00001,Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia),hsa:973,"CD79A, IGA, MB-1; CD79a molecule, immunoglobulin-associated alpha; K06506 CD79A antigen",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:1791,"DNTT, TDT; DNA nucleotidylexotransferase (EC:2.7.7.31); K00977 DNA nucleotidylexotransferase [EC:2.7.7.31]",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:30012,"TLX3, HOX11L2, RNX; T-cell leukemia homeobox 3; K15607 T-cell leukemia homeobox protein 3",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:3195,"TLX1, HOX11, TCL3; T-cell leukemia homeobox 1; K09340 T-cell leukemia homeobox protein 1",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4005,"LMO2, RBTN2, RBTNL1, RHOM2, TTG2; LIM domain only 2 (rhombotin-like 1); K15612 rhombotin-2",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4066,"LYL1, bHLHa18; lymphoblastic leukemia associated hematopoiesis regulator 1; K15604 protein lyl-1",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4297,"KMT2A, ALL-1, CXXC7, HRX, HTRX1, MLL, MLL/GAS7, MLL1, MLL1A, TET1-MLL, TRX1, WDSTS; lysine (K)-specific methyltransferase 2A (EC:2.1.1.43); K09186 histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4298,"MLLT1, ENL, LTG19, YEATS1; myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1; K15187 YEATS domain-containing protein 1/3",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4311,"MME, CALLA, CD10, NEP, SFE; membrane metallo-endopeptidase (EC:3.4.24.11); K01389 neprilysin [EC:3.4.24.11]",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4609,"MYC, MRTL, MYCC, bHLHe39, c-Myc; v-myc avian myelocytomatosis viral oncogene homolog; K04377 Myc proto-oncogene protein",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:4851,"NOTCH1, TAN1, hN1; notch 1; K02599 Notch",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:6886,"TAL1, SCL, TCL5, bHLHa17, tal-1; T-cell acute lymphocytic leukemia 1; K09068 T-cell acute lymphocytic leukemia protein",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:7490,"WT1, AWT1, EWS-WT1, GUD, NPHS4, WAGR, WIT-2, WT33; Wilms tumor 1; K09234 Wilms tumor protein 1",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:909,"CD1A, CD1, FCB6, HTA1, R4, T6; CD1a molecule; K06448 CD1 antigen",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:914,"CD2, LFA-2, SRBC, T11; CD2 molecule; K06449 CD2 antigen",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:915,"CD3D, CD3-DELTA, IMD19, T3D; CD3d molecule, delta (CD3-TCR complex); K06450 T-cell surface glycoprotein CD3 delta chain",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:916,"CD3E, IMD18, T3E, TCRE; CD3e molecule, epsilon (CD3-TCR complex); K06451 T-cell surface glycoprotein CD3 epsilon chain",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:917,"CD3G, CD3-GAMMA, IMD17, T3G; CD3g molecule, gamma (CD3-TCR complex); K06452 T-cell surface glycoprotein CD3 gamma chain",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:921,"CD5, LEU1, T1; CD5 molecule; K06455 CD5 antigen",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:924,"CD7, GP40, LEU-9, TP41, Tp40; CD7 molecule; K06457 CD7 antigen",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:925,"CD8A, CD8, Leu2, MAL, p32; CD8a molecule; K06458 CD8A antigen, alpha polypeptide",,
ds:H00002,Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia),hsa:926,"CD8B, CD8B1, LEU2, LY3, LYT3, P37; CD8b molecule; K06459 CD8B antigen, beta polypeptide",,
ds:H00003,Acute myeloid leukemia (AML),hsa:1050,"CEBPA, C/EBP-alpha, CEBP; CCAAT/enhancer binding protein (C/EBP), alpha; K09055 CCAAT/enhancer binding protein (C/EBP), alpha",,
ds:H00003,Acute myeloid leukemia (AML),hsa:2209,"FCGR1A, CD64, CD64A, FCRI, IGFR1; Fc fragment of IgG, high affinity Ia, receptor (CD64); K06498 high affinity immunoglobulin gamma Fc receptor I",,
ds:H00003,Acute myeloid leukemia (AML),hsa:2322,"FLT3, CD135, FLK-2, FLK2, STK1; fms-related tyrosine kinase 3 (EC:2.7.10.1); K05092 fms-related tyrosine kinase 3 [EC:2.7.10.1]",,
ds:H00003,Acute myeloid leukemia (AML),hsa:290,"ANPEP, APN, CD13, GP150, LAP1, P150, PEPN; alanyl (membrane) aminopeptidase (EC:3.4.11.2); K11140 aminopeptidase N [EC:3.4.11.2]",,
ds:H00003,Acute myeloid leukemia (AML),hsa:3815,"KIT, C-Kit, CD117, PBT, SCFR; v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog (EC:2.7.10.1); K05091 proto-oncogene tyrosine-protein kinase Kit [EC:2.7.10.1]",,
ds:H00003,Acute myeloid leukemia (AML),hsa:3845,"KRAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, KI-RAS, KRAS1, KRAS2, NS, NS3, RASK2; Kirsten rat sarcoma viral oncogene homolog; K07827 GTPase KRas",,
ds:H00003,Acute myeloid leukemia (AML),hsa:4353,MPO; myeloperoxidase (EC:1.11.2.2); K10789 myeloperoxidase [EC:1.11.2.2],,
ds:H00003,Acute myeloid leukemia (AML),hsa:4629,"MYH11, AAT4, FAA4, SMHC, SMMHC; myosin, heavy chain 11, smooth muscle; K10352 myosin heavy chain",,
ds:H00003,Acute myeloid leukemia (AML),hsa:4893,"NRAS, ALPS4, CMNS, N-ras, NCMS, NRAS1, NS6; neuroblastoma RAS viral (v-ras) oncogene homolog; K07828 GTPase NRas",,
ds:H00003,Acute myeloid leukemia (AML),hsa:5371,"PML, MYL, PP8675, RNF71, TRIM19; promyelocytic leukemia; K10054 probable transcription factor PML",,
ds:H00003,Acute myeloid leukemia (AML),hsa:5914,"RARA, NR1B1, RAR; retinoic acid receptor, alpha; K08527 retinoic acid receptor alpha",,
ds:H00003,Acute myeloid leukemia (AML),hsa:6688,"SPI1, OF, PU.1, SFPI1, SPI-1, SPI-A; Spi-1 proto-oncogene; K09438 transcription factor PU.1",,
ds:H00003,Acute myeloid leukemia (AML),hsa:7490,"WT1, AWT1, EWS-WT1, GUD, NPHS4, WAGR, WIT-2, WT33; Wilms tumor 1; K09234 Wilms tumor protein 1",,
ds:H00003,Acute myeloid leukemia (AML),hsa:7704,"ZBTB16, PLZF, ZNF145; zinc finger and BTB domain containing 16; K10055 zinc finger and BTB domain-containing protein 16",,
ds:H00003,Acute myeloid leukemia (AML),hsa:861,"RUNX1, AML1, AML1-EVI-1, AMLCR1, CBFA2, EVI-1, PEBP2aB; runt-related transcription factor 1; K08367 runt-related transcription factor 1",,
ds:H00003,Acute myeloid leukemia (AML),hsa:862,"RUNX1T1, AML1T1, CBFA2T1, CDR, ETO, MTG8, ZMYND2; runt-related transcription factor 1; translocated to, 1 (cyclin D-related); K10053 runt-related transcription factor 1; translocated to, 1",,
ds:H00003,Acute myeloid leukemia (AML),hsa:865,"CBFB, PEBP2B; core-binding factor, beta subunit",,
ds:H00003,Acute myeloid leukemia (AML),hsa:929,CD14; CD14 molecule; K04391 CD14 antigen,,
ds:H00003,Acute myeloid leukemia (AML),hsa:945,"CD33, SIGLEC-3, SIGLEC3, p67; CD33 molecule; K06473 CD33 antigen",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:2208,"FCER2, BLAST-2, CD23, CD23A, CLEC4J, FCE2, IGEBF; Fc fragment of IgE, low affinity II, receptor for (CD23); K06468 Fc receptor, IgE, low affinity II",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:355,"FAS, ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6; Fas cell surface death receptor; K04390 tumor necrosis factor receptor superfamily member 6",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:472,"ATM, AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1; ATM serine/threonine kinase (EC:2.7.11.1); K04728 ataxia telangiectasia mutated family protein [EC:2.7.11.1]",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:567,B2M; beta-2-microglobulin; K08055 beta-2-microglobulin,,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:596,"BCL2, Bcl-2, PPP1R50; B-cell CLL/lymphoma 2; K02161 apoptosis regulator BCL-2",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:7083,"TK1, TK2; thymidine kinase 1, soluble (EC:2.7.1.21); K00857 thymidine kinase [EC:2.7.1.21]",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:7535,"ZAP70, SRK, STCD, STD, TZK, ZAP-70; zeta-chain (TCR) associated protein kinase 70kDa (EC:2.7.10.2); K07360 tyrosine-protein kinase ZAP-70 [EC:2.7.10.2]",,
ds:H00005,Chronic lymphocytic leukemia (CLL),hsa:952,"CD38, ADPRC_1, T10; CD38 molecule (EC:3.2.2.6 2.4.99.20); K01242 ADP-ribosyl cyclase 1 [EC:3.2.2.6 2.4.99.20]",,
ds:H00006,Hairy-cell leukemia,hsa:301,"ANXA1, ANX1, LPC1; annexin A1; K17091 annexin A1",,
ds:H00006,Hairy-cell leukemia,hsa:3559,"IL2RA, CD25, IDDM10, IL2R, TCGFR, p55; interleukin 2 receptor, alpha; K05068 interleukin 2 receptor alpha",,
ds:H00006,Hairy-cell leukemia,hsa:3682,"ITGAE, CD103, HUMINAE; integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide); K06524 integrin alpha E",,
ds:H00006,Hairy-cell leukemia,hsa:3687,"ITGAX, CD11C, SLEB6; integrin, alpha X (complement component 3 receptor 4 subunit); K06462 integrin alpha X",,
ds:H00006,Hairy-cell leukemia,hsa:595,"CCND1, BCL1, D11S287E, PRAD1, U21B31; cyclin D1; K04503 cyclin D1",,
ds:H00006,Hairy-cell leukemia,hsa:604,"BCL6, BCL5, BCL6A, LAZ3, ZBTB27, ZNF51; B-cell CLL/lymphoma 6; K15618 B-cell lymphoma 6 protein",,
ds:H00006,Hairy-cell leukemia,hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00007,Hodgkin lymphoma,hsa:355,"FAS, ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6; Fas cell surface death receptor; K04390 tumor necrosis factor receptor superfamily member 6",,
ds:H00007,Hodgkin lymphoma,hsa:3586,"IL10, CSIF, GVHDS, IL-10, IL10A, TGIF; interleukin 10; K05443 interleukin 10",,
ds:H00007,Hodgkin lymphoma,hsa:4792,"NFKBIA, IKBA, MAD-3, NFKBI; nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha; K04734 NF-kappa-B inhibitor alpha",,
ds:H00007,Hodgkin lymphoma,hsa:4794,"NFKBIE, IKBE; nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon; K05872 NF-kappa-B inhibitor epsilon",,
ds:H00007,Hodgkin lymphoma,hsa:5966,"REL, C-Rel; v-rel avian reticuloendotheliosis viral oncogene homolog; K09254 c-Rel proto-oncogene protein",,
ds:H00007,Hodgkin lymphoma,hsa:943,"TNFRSF8, CD30, D1S166E, Ki-1; tumor necrosis factor receptor superfamily, member 8; K05145 tumor necrosis factor receptor superfamily member 8",,
ds:H00008,Burkitt lymphoma,hsa:1029,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",,
ds:H00008,Burkitt lymphoma,hsa:4609,"MYC, MRTL, MYCC, bHLHe39, c-Myc; v-myc avian myelocytomatosis viral oncogene homolog; K04377 Myc proto-oncogene protein",,
ds:H00008,Burkitt lymphoma,hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00009,Adult T-cell leukemia,hsa:1029,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",,
ds:H00009,Adult T-cell leukemia,hsa:332,"BIRC5, API4, EPR-1; baculoviral IAP repeat containing 5; K08731 baculoviral IAP repeat-containing protein 5",,
ds:H00009,Adult T-cell leukemia,hsa:355,"FAS, ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6; Fas cell surface death receptor; K04390 tumor necrosis factor receptor superfamily member 6",,
ds:H00009,Adult T-cell leukemia,hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00010,Multiple myeloma,hsa:197257,"LDHD, DLD; lactate dehydrogenase D (EC:1.1.2.4); K00102 D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]",,
ds:H00010,Multiple myeloma,hsa:2261,"FGFR3, ACH, CD333, CEK2, HSFGFR3EX, JTK4; fibroblast growth factor receptor 3 (EC:2.7.10.1); K05094 fibroblast growth factor receptor 3 [EC:2.7.10.1]",,
ds:H00010,Multiple myeloma,hsa:3845,"KRAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, KI-RAS, KRAS1, KRAS2, NS, NS3, RASK2; Kirsten rat sarcoma viral oncogene homolog; K07827 GTPase KRas",,
ds:H00010,Multiple myeloma,hsa:3939,"LDHA, GSD11, HEL-S-133P, LDH1, LDHM; lactate dehydrogenase A (EC:1.1.1.27); K00016 L-lactate dehydrogenase [EC:1.1.1.27]",,
ds:H00010,Multiple myeloma,hsa:3945,"LDHB, HEL-S-281, LDH-B, LDH-H, LDHBD, TRG-5; lactate dehydrogenase B (EC:1.1.1.27); K00016 L-lactate dehydrogenase [EC:1.1.1.27]",,
ds:H00010,Multiple myeloma,hsa:3948,"LDHC, CT32, LDH3, LDHX; lactate dehydrogenase C (EC:1.1.1.27); K00016 L-lactate dehydrogenase [EC:1.1.1.27]",,
ds:H00010,Multiple myeloma,hsa:4094,"MAF, CCA4, c-MAF; v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog; K09035 transcription factor Maf",,
ds:H00010,Multiple myeloma,hsa:4609,"MYC, MRTL, MYCC, bHLHe39, c-Myc; v-myc avian myelocytomatosis viral oncogene homolog; K04377 Myc proto-oncogene protein",,
ds:H00010,Multiple myeloma,hsa:4684,"NCAM1, CD56, MSK39, NCAM; neural cell adhesion molecule 1 (EC:2.7.11.1); K06491 neural cell adhesion molecule",,
ds:H00010,Multiple myeloma,hsa:4685,"NCAM2, NCAM21; neural cell adhesion molecule 2; K06491 neural cell adhesion molecule",,
ds:H00010,Multiple myeloma,hsa:4893,"NRAS, ALPS4, CMNS, N-ras, NCMS, NRAS1, NS6; neuroblastoma RAS viral (v-ras) oncogene homolog; K07828 GTPase NRas",,
ds:H00010,Multiple myeloma,hsa:567,B2M; beta-2-microglobulin; K08055 beta-2-microglobulin,,
ds:H00010,Multiple myeloma,hsa:595,"CCND1, BCL1, D11S287E, PRAD1, U21B31; cyclin D1; K04503 cyclin D1",,
ds:H00010,Multiple myeloma,hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00010,Multiple myeloma,hsa:7468,"WHSC1, MMSET, NSD2, REIIBP, TRX5, WHS; Wolf-Hirschhorn syndrome candidate 1 (EC:2.1.1.43); K11424 histone-lysine N-methyltransferase NSD2 [EC:2.1.1.43]",,
ds:H00010,Multiple myeloma,hsa:896,CCND3; cyclin D3; K10152 cyclin D3,,
ds:H00011,Lymphoplasmacytic lymphoma,hsa:5079,"PAX5, ALL3, BSAP; paired box 5; K09383 paired box protein 5",,
ds:H00011,Lymphoplasmacytic lymphoma,hsa:930,"CD19, B4, CVID3; CD19 molecule; K06465 CD19 antigen",,
ds:H00011,Lymphoplasmacytic lymphoma,hsa:931,"MS4A1, B1, Bp35, CD20, CVID5, LEU-16, MS4A2, S7; membrane-spanning 4-domains, subfamily A, member 1; K06466 membrane-spanning 4-domains, subfamily A, member 1",,
ds:H00012,Polycythemia vera,hsa:2056,"EPO, EP, MVCD2; erythropoietin; K05437 erythropoietin",,
ds:H00012,Polycythemia vera,hsa:3717,"JAK2, JTK10, THCYT3; Janus kinase 2 (EC:2.7.10.2); K04447 Janus kinase 2 [EC:2.7.10.2]",,
ds:H00012,Polycythemia vera,hsa:57126,"CD177, HNA-2a, HNA2A, NB1, NB1_GP, PRV-1, PRV1; CD177 molecule; K06552 CD177 antigen",,
ds:H00013,Small cell lung cancer,hsa:2026,"ENO2, HEL-S-279, NSE; enolase 2 (gamma, neuronal) (EC:4.2.1.11); K01689 enolase [EC:4.2.1.11]",,
ds:H00013,Small cell lung cancer,hsa:2272,"FHIT, AP3Aase, FRA3B; fragile histidine triad (EC:3.6.1.29); K01522 bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29]",,
ds:H00013,Small cell lung cancer,hsa:2922,"GRP, BN, GRP-10, preproGRP, proGRP; gastrin-releasing peptide; K05224 gastrin-releasing peptide",,
ds:H00013,Small cell lung cancer,hsa:4609,"MYC, MRTL, MYCC, bHLHe39, c-Myc; v-myc avian myelocytomatosis viral oncogene homolog; K04377 Myc proto-oncogene protein",,
ds:H00013,Small cell lung cancer,hsa:5728,"PTEN, 10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, TEP1; phosphatase and tensin homolog (EC:3.1.3.67 3.1.3.16 3.1.3.48); K01110 phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]",,
ds:H00013,Small cell lung cancer,hsa:5915,"RARB, HAP, MCOPS12, NR1B2, RRB2; retinoic acid receptor, beta; K08528 retinoic acid receptor beta",,
ds:H00013,Small cell lung cancer,hsa:5925,"RB1, OSRC, PPP1R130, RB, p105-Rb, pRb, pp110; retinoblastoma 1; K06618 retinoblastoma-associated protein",,
ds:H00013,Small cell lung cancer,hsa:596,"BCL2, Bcl-2, PPP1R50; B-cell CLL/lymphoma 2; K02161 apoptosis regulator BCL-2",,
ds:H00013,Small cell lung cancer,hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00014,Non-small cell lung cancer,hsa:1029,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",,
ds:H00014,Non-small cell lung cancer,hsa:10342,"TFG, HMSNP, SPG57, TF6, TRKT3; TRK-fused gene; K09292 protein TFG",,
ds:H00014,Non-small cell lung cancer,hsa:1048,"CEACAM5, CD66e, CEA; carcinoembryonic antigen-related cell adhesion molecule 5; K06499 carcinoembryonic antigen-related cell adhesion molecule",,
ds:H00014,Non-small cell lung cancer,hsa:10568,"SLC34A2, NAPI-3B, NAPI-IIb, NPTIIb; solute carrier family 34 (type II sodium/phosphate contransporter), member 2; K14683 solute carrier family 34 (sodium-dependent phosphate cotransporter)",,
ds:H00014,Non-small cell lung cancer,hsa:11186,"RASSF1, 123F2, NORE2A, RASSF1A, RDA32, REH3P21; Ras association (RalGDS/AF-6) domain family member 1; K09850 Ras association domain-containing protein 1",,
ds:H00014,Non-small cell lung cancer,hsa:2272,"FHIT, AP3Aase, FRA3B; fragile histidine triad (EC:3.6.1.29); K01522 bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29]",,
ds:H00014,Non-small cell lung cancer,hsa:238,"ALK, CD246, NBLST3; anaplastic lymphoma receptor tyrosine kinase (EC:2.7.10.1); K05119 anaplastic lymphoma kinase [EC:2.7.10.1]",,
ds:H00014,Non-small cell lung cancer,hsa:27436,"EML4, C2orf2, ELP120, EMAP-4, EMAPL4, ROPP120; echinoderm microtubule associated protein like 4; K15420 echinoderm microtubule-associated protein-like 4",,
ds:H00014,Non-small cell lung cancer,hsa:3845,"KRAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, KI-RAS, KRAS1, KRAS2, NS, NS3, RASK2; Kirsten rat sarcoma viral oncogene homolog; K07827 GTPase KRas",,
ds:H00014,Non-small cell lung cancer,hsa:3880,"KRT19, CK19, K19, K1CS; keratin 19; K07604 type I keratin, acidic",,
ds:H00014,Non-small cell lung cancer,hsa:5915,"RARB, HAP, MCOPS12, NR1B2, RRB2; retinoic acid receptor, beta; K08528 retinoic acid receptor beta",,
ds:H00014,Non-small cell lung cancer,hsa:6098,"ROS1, MCF3, ROS, c-ros-1; ROS proto-oncogene 1, receptor tyrosine kinase (EC:2.7.10.1); K05088 proto-oncogene tyrosine-protein kinase ROS [EC:2.7.10.1]",,
ds:H00014,Non-small cell lung cancer,hsa:7157,"TP53, BCC7, LFS1, P53, TRP53; tumor protein p53; K04451 tumor protein p53",,
ds:H00015,Malignant pleural mesothelioma,hsa:1029,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",,
ds:H00015,Malignant pleural mesothelioma,hsa:1030,"CDKN2B, CDK4I, INK4B, MTS2, P15, TP15, p15INK4b; cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4); K04685 cyclin-dependent kinase inhibitor 2B",,
ds:H00015,Malignant pleural mesothelioma,hsa:286887,"KRT6C, K6E, KRT6E, PPKNEFD; keratin 6C; K07605 type II keratin, basic",,
ds:H00015,Malignant pleural mesothelioma,hsa:3479,"IGF1, IGF-I, IGF1A, IGFI; insulin-like growth factor 1 (somatomedin C); K05459 insulin-like growth factor 1",,
ds:H00015,Malignant pleural mesothelioma,hsa:3480,"IGF1R, CD221, IGFIR, IGFR, JTK13; insulin-like growth factor 1 receptor (EC:2.7.10.1); K05087 insulin-like growth factor 1 receptor [EC:2.7.10.1]",,
