gene,name,bp
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1021>,"CDK6, PLSTIRE; cyclin-dependent kinase 6 (EC:2.7.11.22); K02091 cyclin-dependent kinase 6 [EC:2.7.11.22]",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1021>,"CDK6, PLSTIRE; cyclin-dependent kinase 6 (EC:2.7.11.22); K02091 cyclin-dependent kinase 6 [EC:2.7.11.22]",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1022>,"CDK7, CAK1, CDKN7, HCAK, MO15, STK1, p39MO15; cyclin-dependent kinase 7 (EC:2.7.11.23 2.7.11.22); K02202 cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1026>,"CDKN1A, CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1; cyclin-dependent kinase inhibitor 1A (p21, Cip1); K06625 cyclin-dependent kinase inhibitor 1A",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1026>,"CDKN1A, CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1; cyclin-dependent kinase inhibitor 1A (p21, Cip1); K06625 cyclin-dependent kinase inhibitor 1A",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1027>,"CDKN1B, CDKN4, KIP1, MEN1B, MEN4, P27KIP1; cyclin-dependent kinase inhibitor 1B (p27, Kip1); K06624 cyclin-dependent kinase inhibitor 1B",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1027>,"CDKN1B, CDKN4, KIP1, MEN1B, MEN4, P27KIP1; cyclin-dependent kinase inhibitor 1B (p27, Kip1); K06624 cyclin-dependent kinase inhibitor 1B",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1027>,"CDKN1B, CDKN4, KIP1, MEN1B, MEN4, P27KIP1; cyclin-dependent kinase inhibitor 1B (p27, Kip1); K06624 cyclin-dependent kinase inhibitor 1B",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1027>,"CDKN1B, CDKN4, KIP1, MEN1B, MEN4, P27KIP1; cyclin-dependent kinase inhibitor 1B (p27, Kip1); K06624 cyclin-dependent kinase inhibitor 1B",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1029>,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1029>,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1029>,"CDKN2A, ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16; cyclin-dependent kinase inhibitor 2A; K06621 cyclin-dependent kinase inhibitor 2A",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10298>,PAK4; p21 protein (Cdc42/Rac)-activated kinase 4 (EC:2.7.11.1); K05734 p21-activated kinase 4 [EC:2.7.11.1],<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10298>,PAK4; p21 protein (Cdc42/Rac)-activated kinase 4 (EC:2.7.11.1); K05734 p21-activated kinase 4 [EC:2.7.11.1],<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1030>,"CDKN2B, CDK4I, INK4B, MTS2, P15, TP15, p15INK4b; cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4); K04685 cyclin-dependent kinase inhibitor 2B",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1031>,"CDKN2C, INK4C, p18, p18-INK4C; cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4); K06622 cyclin-dependent kinase inhibitor 2C",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1032>,"CDKN2D, INK4D, p19, p19-INK4D; cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4); K06623 cyclin-dependent kinase inhibitor 2D",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10488>,"CREB3, LUMAN, LZIP; cAMP responsive element binding protein 3; K09048 cyclic AMP-responsive element-binding protein 3",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1050>,"CEBPA, C/EBP-alpha, CEBP; CCAAT/enhancer binding protein (C/EBP), alpha; K09055 CCAAT/enhancer binding protein (C/EBP), alpha",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1050>,"CEBPA, C/EBP-alpha, CEBP; CCAAT/enhancer binding protein (C/EBP), alpha; K09055 CCAAT/enhancer binding protein (C/EBP), alpha",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10912>,"GADD45G, CR6, DDIT2, GADD45gamma, GRP17; growth arrest and DNA-damage-inducible, gamma; K04402 growth arrest and DNA-damage-inducible protein",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10912>,"GADD45G, CR6, DDIT2, GADD45gamma, GRP17; growth arrest and DNA-damage-inducible, gamma; K04402 growth arrest and DNA-damage-inducible protein",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_10971>,"YWHAQ, 14-3-3, 1C5, HS1; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta; K16197 14-3-3 protein beta/theta/zeta",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1111>,"CHEK1, CHK1; checkpoint kinase 1 (EC:2.7.11.1); K02216 serine/threonine-protein kinase Chk1 [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_11200>,"CHEK2, CDS1, CHK2, HuCds1, LFS2, PP1425, RAD53, hCds1; checkpoint kinase 2 (EC:2.7.11.1); K06641 serine/threonine-protein kinase Chk2 [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_112399>,"EGLN3, HIFP4H3, HIFPH3, PHD3; egl-9 family hypoxia-inducible factor 3 (EC:1.14.11.29); K09592 hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.29]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_112399>,"EGLN3, HIFP4H3, HIFPH3, PHD3; egl-9 family hypoxia-inducible factor 3 (EC:1.14.11.29); K09592 hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.29]",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_112401>,"BIRC8, ILP-2, ILP2, hILP2; baculoviral IAP repeat containing 8; K16061 baculoviral IAP repeat-containing protein 7/8",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_112401>,"BIRC8, ILP-2, ILP2, hILP2; baculoviral IAP repeat containing 8; K16061 baculoviral IAP repeat-containing protein 7/8",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1128>,"CHRM1, HM1, M1, M1R; cholinergic receptor, muscarinic 1; K04129 muscarinic acetylcholine receptor M1",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1128>,"CHRM1, HM1, M1, M1R; cholinergic receptor, muscarinic 1; K04129 muscarinic acetylcholine receptor M1",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_115727>,RASGRP4; RAS guanyl releasing protein 4; K12363 RAS guanyl-releasing protein 4,<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1163>,"CKS1B, CKS1, PNAS-16, PNAS-18, ckshs1; CDC28 protein kinase regulatory subunit 1B; K02219 cyclin-dependent kinase regulatory subunit CKS1",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1164>,"CKS2, CKSHS2; CDC28 protein kinase regulatory subunit 2; K02219 cyclin-dependent kinase regulatory subunit CKS1",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_117145>,"THEM4, CTMP; thioesterase superfamily member 4 (EC:3.1.2.2); K16339 thioesterase superfamily member 4",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1282>,"COL4A1, HANAC, ICH, POREN1, arresten; collagen, type IV, alpha 1; K06237 collagen, type IV, alpha",<http://www.geneontology.org/go#GO_0001525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1284>,"COL4A2, ICH, POREN2; collagen, type IV, alpha 2; K06237 collagen, type IV, alpha",<http://www.geneontology.org/go#GO_0016525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1284>,"COL4A2, ICH, POREN2; collagen, type IV, alpha 2; K06237 collagen, type IV, alpha",<http://www.geneontology.org/go#GO_0001525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1285>,"COL4A3; collagen, type IV, alpha 3 (Goodpasture antigen); K06237 collagen, type IV, alpha",<http://www.geneontology.org/go#GO_0016525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1285>,"COL4A3; collagen, type IV, alpha 3 (Goodpasture antigen); K06237 collagen, type IV, alpha",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1285>,"COL4A3; collagen, type IV, alpha 3 (Goodpasture antigen); K06237 collagen, type IV, alpha",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1311>,"COMP, EDM1, EPD1, MED, PSACH, THBS5; cartilage oligomeric matrix protein; K04659 thrombospondin 2/3/4/5",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1311>,"COMP, EDM1, EPD1, MED, PSACH, THBS5; cartilage oligomeric matrix protein; K04659 thrombospondin 2/3/4/5",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1435>,"CSF1, CSF-1, MCSF; colony stimulating factor 1 (macrophage) (EC:2.7.10.1); K05453 macrophage colony-stimulating factor 1",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1435>,"CSF1, CSF-1, MCSF; colony stimulating factor 1 (macrophage) (EC:2.7.10.1); K05453 macrophage colony-stimulating factor 1",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1436>,"CSF1R, C-FMS, CD115, CSF-1R, CSFR, FIM2, FMS, HDLS, M-CSF-R; colony stimulating factor 1 receptor (EC:2.7.10.1); K05090 macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1436>,"CSF1R, C-FMS, CD115, CSF-1R, CSFR, FIM2, FMS, HDLS, M-CSF-R; colony stimulating factor 1 receptor (EC:2.7.10.1); K05090 macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1440>,"CSF3, C17orf33, CSF3OS, GCSF, G-CSF; colony stimulating factor 3 (granulocyte); K05423 granulocyte colony-stimulating factor",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1487>,"CTBP1, BARS; C-terminal binding protein 1; K04496 C-terminal binding protein",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1488>,CTBP2; C-terminal binding protein 2; K04496 C-terminal binding protein,<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1495>,"CTNNA1, CAP102; catenin (cadherin-associated protein), alpha 1, 102kDa; K05691 catenin alpha",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1495>,"CTNNA1, CAP102; catenin (cadherin-associated protein), alpha 1, 102kDa; K05691 catenin alpha",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0008285>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0042981>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1499>,"CTNNB1, CTNNB, MRD19, armadillo; catenin (cadherin-associated protein), beta 1, 88kDa; K02105 catenin beta 1",<http://www.geneontology.org/go#GO_0045765>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1612>,"DAPK1, DAPK; death-associated protein kinase 1 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1612>,"DAPK1, DAPK; death-associated protein kinase 1 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1612>,"DAPK1, DAPK; death-associated protein kinase 1 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1612>,"DAPK1, DAPK; death-associated protein kinase 1 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0042981>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1613>,"DAPK3, DLK, ZIP, ZIPK; death-associated protein kinase 3 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1613>,"DAPK3, DLK, ZIP, ZIPK; death-associated protein kinase 3 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1613>,"DAPK3, DLK, ZIP, ZIPK; death-associated protein kinase 3 (EC:2.7.11.1); K08803 death-associated protein kinase [EC:2.7.11.1]",<http://www.geneontology.org/go#GO_0042981>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1630>,"DCC, CRC18, CRCR1, IGDCC1, MRMV1, NTN1R1; DCC netrin 1 receptor; K06765 deleted in colorectal carcinoma",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1630>,"DCC, CRC18, CRCR1, IGDCC1, MRMV1, NTN1R1; DCC netrin 1 receptor; K06765 deleted in colorectal carcinoma",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1647>,"GADD45A, DDIT1, GADD45; growth arrest and DNA-damage-inducible, alpha; K04402 growth arrest and DNA-damage-inducible protein",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1647>,"GADD45A, DDIT1, GADD45; growth arrest and DNA-damage-inducible, alpha; K04402 growth arrest and DNA-damage-inducible protein",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1676>,"DFFA, DFF-45, DFF1, ICAD; DNA fragmentation factor, 45kDa, alpha polypeptide; K02310 DNA fragmentation factor, 45 kD, alpha subunit",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1676>,"DFFA, DFF-45, DFF1, ICAD; DNA fragmentation factor, 45kDa, alpha polypeptide; K02310 DNA fragmentation factor, 45 kD, alpha subunit",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1677>,"DFFB, CAD, CPAN, DFF-40, DFF2, DFF40; DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase); K02311 DNA fragmentation factor, 40 kD, beta subunit [EC:3.-.-.-]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1839>,"HBEGF, DTR, DTS, DTSF, HEGFL; heparin-binding EGF-like growth factor; K08523 heparin-binding EGF-like growth factor",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1869>,"E2F1, E2F-1, RBAP1, RBBP3, RBP3; E2F transcription factor 1; K17454 transcription factor E2F1",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1871>,"E2F3, E2F-3; E2F transcription factor 3; K06620 transcription factor E2F3",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1874>,"E2F4, E2F-4; E2F transcription factor 4, p107/p130-binding; K04682 transcription factor E2F4/5",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1902>,"LPAR1, EDG2, GPR26, Gpcr26, LPA1, Mrec1.3, VZG1, edg-2, rec.1.3, vzg-1; lysophosphatidic acid receptor 1; K04289 lysophosphatidic acid receptor 1",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1942>,"EFNA1, B61, ECKLG, EFL1, EPLG1, LERK-1, LERK1, TNFAIP4; ephrin-A1; K05462 ephrin-A",<http://www.geneontology.org/go#GO_0001525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1942>,"EFNA1, B61, ECKLG, EFL1, EPLG1, LERK-1, LERK1, TNFAIP4; ephrin-A1; K05462 ephrin-A",<http://www.geneontology.org/go#GO_0045765>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1946>,"EFNA5, AF1, EFL5, EPLG7, GLC1M, LERK7, RAGS; ephrin-A5; K05462 ephrin-A",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1950>,"EGF, HOMG4, URG; epidermal growth factor; K04357 epidermal growth factor",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1950>,"EGF, HOMG4, URG; epidermal growth factor; K04357 epidermal growth factor",<http://www.geneontology.org/go#GO_0001525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1956>,"EGFR, ERBB, ERBB1, HER1, PIG61, mENA; epidermal growth factor receptor (EC:2.7.10.1); K04361 epidermal growth factor receptor [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0043066>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1956>,"EGFR, ERBB, ERBB1, HER1, PIG61, mENA; epidermal growth factor receptor (EC:2.7.10.1); K04361 epidermal growth factor receptor [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0008284>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1956>,"EGFR, ERBB, ERBB1, HER1, PIG61, mENA; epidermal growth factor receptor (EC:2.7.10.1); K04361 epidermal growth factor receptor [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0008283>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1956>,"EGFR, ERBB, ERBB1, HER1, PIG61, mENA; epidermal growth factor receptor (EC:2.7.10.1); K04361 epidermal growth factor receptor [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0042127>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1969>,"EPHA2, ARCC2, CTPA, CTPP1, CTRCT6, ECK; EPH receptor A2 (EC:2.7.10.1); K05103 Eph receptor A2 [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0045765>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1969>,"EPHA2, ARCC2, CTPA, CTPP1, CTRCT6, ECK; EPH receptor A2 (EC:2.7.10.1); K05103 Eph receptor A2 [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0001525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_1969>,"EPHA2, ARCC2, CTPA, CTPP1, CTRCT6, ECK; EPH receptor A2 (EC:2.7.10.1); K05103 Eph receptor A2 [EC:2.7.10.1]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_2021>,"ENDOG; endonuclease G; K01173 endonuclease G, mitochondrial",<http://www.geneontology.org/go#GO_0043065>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_2033>,"EP300, KAT3B, RSTS2, p300; E1A binding protein p300 (EC:2.3.1.48); K04498 E1A/CREB-binding protein [EC:2.3.1.48]",<http://www.geneontology.org/go#GO_0006915>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_2034>,"EPAS1, ECYT4, HIF2A, HLF, MOP2, PASD2, bHLHe73; endothelial PAS domain protein 1; K09095 hypoxia-inducible factor 2 alpha",<http://www.geneontology.org/go#GO_0001525>
<http://www.inferico.com/kegg-cmpo.owl#Abst_Gene_hsa_2056>,"EPO, EP, MVCD2; erythropoietin; K05437 erythropoietin",<http://www.geneontology.org/go#GO_0043066>
